binary,case,dataset,delta_rise_minus_fall,description,fall_value,fish,fluo_type,method,method_internal,metric,recording,rise_value,trace,trial
False,C,motoneurons,0.04395604395604395,bad neurons and artefacts removed,0.08241758241758242,3,C,rising_flank_cgc,rising_flank_cgc,edge_density,F3T1,0.12637362637362637,1,
False,C,motoneurons,8.0,bad neurons and artefacts removed,15.0,3,C,rising_flank_cgc,rising_flank_cgc,retained_edges,F3T1,23.0,1,
False,C,motoneurons,3.943823454820496,bad neurons and artefacts removed,2.188826436079994,3,C,rising_flank_cgc,rising_flank_cgc,total_weight,F3T1,6.13264989090049,1,
False,C,motoneurons,4.1467098249186805,bad neurons and artefacts removed,0.5326688313938842,3,C,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F3T1,4.679378656312565,1,
False,C,motoneurons,-0.2028863700981849,bad neurons and artefacts removed,1.6561576046861102,3,C,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F3T1,1.4532712345879253,1,
False,C,motoneurons,3.013073932665069,bad neurons and artefacts removed,0.1407228949739446,3,C,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F3T1,3.1537968276390136,1,
False,C,motoneurons,1.1336358922536114,bad neurons and artefacts removed,0.3919459364199396,3,C,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F3T1,1.525581828673551,1,
False,C,motoneurons,0.9297199719922175,bad neurons and artefacts removed,0.0,3,C,rising_flank_cgc,rising_flank_cgc,w_ic,F3T2,0.9297199719922175,2,
False,C,motoneurons,0.09090909090909091,bad neurons and artefacts removed,0.02727272727272727,3,C,rising_flank_cgc,rising_flank_cgc,edge_density,F3T2,0.11818181818181818,2,
False,C,motoneurons,10.0,bad neurons and artefacts removed,3.0,3,C,rising_flank_cgc,rising_flank_cgc,retained_edges,F3T2,13.0,2,
False,C,motoneurons,2.992033704851969,bad neurons and artefacts removed,0.421541200638593,3,C,rising_flank_cgc,rising_flank_cgc,total_weight,F3T2,3.413574905490562,2,
False,C,motoneurons,3.1296779941097466,bad neurons and artefacts removed,0.0,3,C,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F3T2,3.1296779941097466,2,
False,C,motoneurons,-0.1376442892577776,bad neurons and artefacts removed,0.4215412006385929,3,C,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F3T2,0.2838969113808153,2,
False,C,motoneurons,1.4246338489165777,bad neurons and artefacts removed,0.0,3,C,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F3T2,1.4246338489165777,2,
False,C,motoneurons,1.7050441451931695,bad neurons and artefacts removed,0.0,3,C,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F3T2,1.7050441451931695,2,
False,C,motoneurons,0.11273454543287198,bad neurons and artefacts removed,0.7698229899087784,5,C,rising_flank_cgc,rising_flank_cgc,w_ic,F5T2,0.8825575353416504,2,
False,C,motoneurons,0.2535359190364685,bad neurons and artefacts removed,0.3493753942183148,5,C,rising_flank_cgc,rising_flank_cgc,w_rc,F5T2,0.6029113132547833,2,
False,C,motoneurons,0.14705882352941177,bad neurons and artefacts removed,0.014705882352941176,5,C,rising_flank_cgc,rising_flank_cgc,edge_density,F5T2,0.16176470588235295,2,
False,C,motoneurons,40.0,bad neurons and artefacts removed,4.0,5,C,rising_flank_cgc,rising_flank_cgc,retained_edges,F5T2,44.0,2,
False,C,motoneurons,10.4230551599071,bad neurons and artefacts removed,0.41033471972956476,5,C,rising_flank_cgc,rising_flank_cgc,total_weight,F5T2,10.833389879636666,2,
False,C,motoneurons,9.115710237345334,bad neurons and artefacts removed,0.30705060211296026,5,C,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F5T2,9.422760839458295,2,
False,C,motoneurons,1.3073449225617684,bad neurons and artefacts removed,0.10328411761660442,5,C,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F5T2,1.4106290401783728,2,
